ArUco ID,Translation X,Translation Y,Translation Z
aruco_1,-0.22061261330334256,0.04079054780496272,0.3544361969304362
aruco_10,0.014071908216292908,-0.021542429342792987,0.3325713383396654
aruco_2,-0.545517418334975,-0.17203754283430048,0.3962138848974443
aruco_3,-0.00021029865225362862,0.053856186460453405,0.3637508017776075
aruco_4,-0.3157801948937175,-0.17276986131565564,0.3630886593576246
aruco_5,-0.1769671888429905,0.09335947205407746,0.3667314725941322
aruco_6,-0.09349972344270716,-0.16427429387949172,0.37529958113895007
aruco_7,0.11165477283811515,-0.020638796140096803,0.34335453894618484
aruco_8,-0.24710837231085211,0.14444042017049472,0.32441599559228734
aruco_9,-0.05086937942379156,0.019324013796569155,0.3393685171194069
